id,customer,products
0,0,1 0 1 0
1,22,0 5 0 4 5 3 2 1 1
2,57,5 2 4
3,20,4 3 0 2 4
4,28,5 0 5 0 3 4
5,40,0 1 0 2
6,32,5 5 0 5 1 5 1 3 1
7,5,5 0 3 2
8,45,1 2 1 0
9,37,0 5 5 5 2
10,38,3 5 0 1 1 5 3
11,51,4 1 1 3 2
12,6,5 2 1 0
13,44,2 0 0 5 1 0 5
14,34,1 3 1 5
15,3,1 1 5 5 1
16,50,0 1 3 5 5 0 0 0 0
17,24,4 5 4 1 1 0 5 3
18,54,2 0 5 0 3
19,59,4 0 4 4 4 5
20,36,4
21,8,4 2
22,15,5 4 0 2 1 0 0 0 4
23,25,5 5
24,21,2 3 0 4 4 5 4
25,34,1 5 0 0 3 3 0
26,5,2 0 4 4 5 4 2 1 2 1
27,34,5 5 3 3 3 0 3 4
28,45,1 5
29,15,2
30,19,5 0 4 5
31,41,3 2 3 4 5 1 5 2
32,47,5 0 3 0 1 1
33,48,0 2
34,46,0 3 1 1 2 3
35,44,3 4 5
36,38,5
37,32,5 3 1 5 4
38,35,1 4
39,29,3 2 1
40,44,4 5 2
41,24,0 4 3 4 0 3 4 1 3 2
42,10,5 5 4 4 1 5 0 0 4
43,17,1 4 0 2 1 5 2 3
44,9,4 3 1 2 5
45,22,0 4 3 5 1 0 4 0 3
46,29,2 2 3 3 2 0 2 5 3
47,5,2 1
48,44,2 3 0 5 2 2 1 1 2
49,58,1
